Source	ID	Title	Journal	Year_publication	doi	Geography	Higher_Geography	Year	Domain	System 	System_specific	Taxon_Group	Taxon	Taxon_specific	Impact	Impact_specific	Conservation_Group	Conservation_Action	Conservation_Action_specific	Tested_statistically	Response_variable	Response_Group	Predictor_variable	Statistical_method	Test_statistic	value	df	N	Direction_of_effect	P-value	Pearson_r	Pearson_r_conversion	Notes	Assignment	Validation
Other	Other_0001	Poachers threaten Balkans’ underground biodiversity	Science	2017	https://doi.org/10.1126/science.358.6367.1116	Balkan peninsula	Palearctic	NA	Terrestrial	Cave	Natural caves	Arthropoda ; Other invertebrates	Arthropoda ; Other invertebrates	Invertebrates	Poaching	Illegal poaching of rare subterranean invertebrates	Restoration	Habitat restoration	Removal of illegal pitfall traps installed by poachers	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	Mammola	Mammola
Other	Other_0001	Poachers threaten Balkans’ underground biodiversity	Science	2017	https://doi.org/10.1126/science.358.6367.1116	Balkan peninsula	Palearctic	NA	Terrestrial	Cave	Natural caves	Arthropoda ; Other invertebrates	Arthropoda ; Other invertebrates	Invertebrates	Poaching	Illegal poaching of rare subterranean invertebrates	Regulation	Legislation	Legally persecute poachers	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	Mammola	Mammola
Other	Other_0002	Endangered and Threatened Animals of Texas. Their Life History and Management	Texas Park and Wildlife - Wildlife Division	2003	https://tpwd.texas.gov/publications/pwdpubs/media/pwd_bk_w7000_0013.pdf	Travis country, USA ; Williamson country, USA	Nearctic	1967-1984	Terrestrial	Cave	Edwards Aquifer	Arthropoda	Arachnida	Neoleptoneta myopica	Surface habitat change	Endangered. Most of the species are located in areas adjacent to or near residential subdivisions, schools, golf courses, roads, and commercial and industrial facilities. Threats from urban development include filling in or collapse of caves, alteration of drainage patterns, alteration of surface plant and animal communities, contamination by pollutants, and detrimental impacts caused by human visitation	Education	Education	In 2002, Williamson County established the Williamson County Karst Foundation for the purpose of providing a long-term method for the conservation and eventual recovery of the three endangered karst invertebrates found in the county. Along with TPWD and the U.S. Fish and Wildlife Service, many local entities and private landowners are also actively involved in conserving these species and the karst habitats	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	Niemiller	Mammola
Other	Other_0002	Endangered and Threatened Animals of Texas. Their Life History and Management	Texas Park and Wildlife - Wildlife Division	2003	https://tpwd.texas.gov/publications/pwdpubs/media/pwd_bk_w7000_0013.pdf	Travis country, USA ; Williamson country, USA	Nearctic	1967-1983	Terrestrial	Cave	Edwards Aquifer	Arthropoda	Arachnida	Tartarocreagris texana	Surface habitat change	Endangered. Most of the species are located in areas adjacent to or near residential subdivisions, schools, golf courses, roads, and commercial and industrial facilities. Threats from urban development include filling in or collapse of caves, alteration of drainage patterns, alteration of surface plant and animal communities, contamination by pollutants, and detrimental impacts caused by human visitation	Education	Education	In 2002, Williamson County established the Williamson County Karst Foundation for the purpose of providing a long-term method for the conservation and eventual recovery of the three endangered karst invertebrates found in the county. Along with TPWD and the U.S. Fish and Wildlife Service, many local entities and private landowners are also actively involved in conserving these species and the karst habitats	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	Niemiller	Mammola
Other	Other_0002	Endangered and Threatened Animals of Texas. Their Life History and Management	Texas Park and Wildlife - Wildlife Division	2003	https://tpwd.texas.gov/publications/pwdpubs/media/pwd_bk_w7000_0013.pdf	Travis country, USA ; Williamson country, USA	Nearctic	1967-1983	Terrestrial	Cave	Edwards Aquifer	Arthropoda	Arachnida	Texella reddelli	Surface habitat change	Endangered. Most of the species are located in areas adjacent to or near residential subdivisions, schools, golf courses, roads, and commercial and industrial facilities. Threats from urban development include filling in or collapse of caves, alteration of drainage patterns, alteration of surface plant and animal communities, contamination by pollutants, and detrimental impacts caused by human visitation	Education	Education	In 2002, Williamson County established the Williamson County Karst Foundation for the purpose of providing a long-term method for the conservation and eventual recovery of the three endangered karst invertebrates found in the county. Along with TPWD and the U.S. Fish and Wildlife Service, many local entities and private landowners are also actively involved in conserving these species and the karst habitats	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	Niemiller	Mammola
Other	Other_0002	Endangered and Threatened Animals of Texas. Their Life History and Management	Texas Park and Wildlife - Wildlife Division	2003	https://tpwd.texas.gov/publications/pwdpubs/media/pwd_bk_w7000_0013.pdf	Travis country, USA ; Williamson country, USA	Nearctic	1967-1983	Terrestrial	Cave	Edwards Aquifer	Arthropoda	Arachnida	Texella reyesi	Surface habitat change	Endangered. Most of the species are located in areas adjacent to or near residential subdivisions, schools, golf courses, roads, and commercial and industrial facilities. Threats from urban development include filling in or collapse of caves, alteration of drainage patterns, alteration of surface plant and animal communities, contamination by pollutants, and detrimental impacts caused by human visitation	Education	Education	In 2002, Williamson County established the Williamson County Karst Foundation for the purpose of providing a long-term method for the conservation and eventual recovery of the three endangered karst invertebrates found in the county. Along with TPWD and the U.S. Fish and Wildlife Service, many local entities and private landowners are also actively involved in conserving these species and the karst habitats	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	Niemiller	Mammola
Other	Other_0002	Endangered and Threatened Animals of Texas. Their Life History and Management	Texas Park and Wildlife - Wildlife Division	2003	https://tpwd.texas.gov/publications/pwdpubs/media/pwd_bk_w7000_0013.pdf	Travis country, USA ; Williamson country, USA	Nearctic	1967-1983	Aquatic	Cave	Edwards Aquifer	Arthropoda	Crustacea	Stygobromus pecki	Climate change	Endangered. The effects of periodic drought coupled with increased groundwater use are a serious threat. For example, a severe drought from 1950-1956 greatly reduced the aquifer level and spring discharges. Other threats associated with increased urbanization include increased flooding and erosion, pollution, siltation, and storm water runoff. All of these factors can adversely affect the listed species and their habitats	Monitoring	Monitoring	Monitoring existing populations and habitats. Basic biological research addressing habitat requirements and aspects of life history, such as food habits, reproduction, diseases and parasites.	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	Niemiller	Mammola
Other	Other_0002	Endangered and Threatened Animals of Texas. Their Life History and Management	Texas Park and Wildlife - Wildlife Division	2003	https://tpwd.texas.gov/publications/pwdpubs/media/pwd_bk_w7000_0013.pdf	Travis country, USA ; Williamson country, USA	Nearctic	NA	Terrestrial	Cave	Edwards Aquifer	Arthropoda	Hexapoda	Batrisodes texanus	Surface habitat change	Endangered. Most of the species are located in areas adjacent to or near residential subdivisions, schools, golf courses, roads, and commercial and industrial facilities. Threats from urban development include filling in or collapse of caves, alteration of drainage patterns, alteration of surface plant and animal communities, contamination by pollutants, and detrimental impacts caused by human visitation	Education	Education	In 2002, Williamson County established the Williamson County Karst Foundation for the purpose of providing a long-term method for the conservation and eventual recovery of the three endangered karst invertebrates found in the county. Along with TPWD and the U.S. Fish and Wildlife Service, many local entities and private landowners are also actively involved in conserving these species and the karst habitats	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	Niemiller	Mammola
Other	Other_0002	Endangered and Threatened Animals of Texas. Their Life History and Management	Texas Park and Wildlife - Wildlife Division	2003	https://tpwd.texas.gov/publications/pwdpubs/media/pwd_bk_w7000_0013.pdf	Travis country, USA ; Williamson country, USA	Nearctic	NA	Terrestrial	Cave	Edwards Aquifer	Arthropoda	Hexapoda	Rhadine persephone	Surface habitat change	Endangered. Most of the species are located in areas adjacent to or near residential subdivisions, schools, golf courses, roads, and commercial and industrial facilities. Threats from urban development include filling in or collapse of caves, alteration of drainage patterns, alteration of surface plant and animal communities, contamination by pollutants, and detrimental impacts caused by human visitation	Education	Education	In 2002, Williamson County established the Williamson County Karst Foundation for the purpose of providing a long-term method for the conservation and eventual recovery of the three endangered karst invertebrates found in the county. Along with TPWD and the U.S. Fish and Wildlife Service, many local entities and private landowners are also actively involved in conserving these species and the karst habitats	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	Niemiller	Mammola
Other	Other_0002	Endangered and Threatened Animals of Texas. Their Life History and Management	Texas Park and Wildlife - Wildlife Division	2003	https://tpwd.texas.gov/publications/pwdpubs/media/pwd_bk_w7000_0013.pdf	Travis country, USA ; Williamson country, USA	Nearctic	NA	Terrestrial	Cave	Edwards Aquifer	Arthropoda	Hexapoda	Texamaurops reddelli	Surface habitat change	Endangered. Most of the species are located in areas adjacent to or near residential subdivisions, schools, golf courses, roads, and commercial and industrial facilities. Threats from urban development include filling in or collapse of caves, alteration of drainage patterns, alteration of surface plant and animal communities, contamination by pollutants, and detrimental impacts caused by human visitation	Education	Education	In 2002, Williamson County established the Williamson County Karst Foundation for the purpose of providing a long-term method for the conservation and eventual recovery of the three endangered karst invertebrates found in the county. Along with TPWD and the U.S. Fish and Wildlife Service, many local entities and private landowners are also actively involved in conserving these species and the karst habitats	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	Niemiller	Mammola
